UUID,Automotive,Ent,Finance,Games,Health,Hobbies,Life,News,Parent,Property,Sports,Tech,Travel,Women
uuid_00169,0,0.73193473,0,0.18881119,0.00699301,0,0.03729604,0.00932401,0.002331,0,0.004662,0.00699301,0.004662,0.00699301
uuid_00170,0.03611738,0.00451467,0,0,0.00225734,0.00677201,0.00225734,0.00451467,0.01128668,0,0,0.93002257,0,0.00225734
uuid_00171,0,0.0130719,0.87145969,0,0,0,0,0.01089325,0.0043573,0,0.03050109,0,0.06971678,0
uuid_00172,0,0.02208835,0,0.02409639,0,0.94779116,0,0.0060241,0,0,0,0,0,0
uuid_00173,0.00454545,0.13636364,0.04090909,0,0.00909091,0,0.02727273,0.16363636,0.00454545,0.2,0,0.00454545,0.01818182,0.39090909
uuid_00174,0.00892857,0.00892857,0.05803571,0,0.00446429,0.00892857,0.00446429,0.0625,0.02678571,0,0.76785714,0.03571429,0,0.01339286
uuid_00175,0,0,0,0.93655589,0,0.01812689,0,0.00302115,0,0,0,0.04229607,0,0
uuid_00176,0,0,0,0,0,0,0,1,0,0,0,0,0,0
uuid_00177,0,0.02898551,0,0,0,0,0,0,0,0,0.00724638,0.96376812,0,0
uuid_00178,0,0,1,0,0,0,0,0,0,0,0,0,0,0
uuid_00179,0,0.01591696,0,0,0,0,0,0,0,0,0,0.98408304,0,0
uuid_00180,0,0.00045537,0.99294171,0,0,0,0.00091075,0,0,0,0,0.00068306,0.00500911,0
uuid_00181,0.00326797,0,0,0.95424837,0,0,0,0.04248366,0,0,0,0,0,0
uuid_00182,0,0.00276243,0,0,0,0,0,0,0,0,0.00552486,0.99171271,0,0
uuid_00183,0,0.01657459,0,0.00276243,0,0,0.00552486,0,0,0,0.97513812,0,0,0
uuid_00184,0,0.00228311,0.99657534,0,0,0,0.00076104,0,0,0,0,0.00038052,0,0
uuid_00185,0,1,0,0,0,0,0,0,0,0,0,0,0,0
uuid_00186,0,0.06366048,0,0.02917772,0,0.17241379,0.07161804,0,0,0,0.51724138,0.03448276,0.08753316,0.02387268
uuid_00187,0,0.28323699,0,0.01156069,0,0,0.02312139,0.00578035,0,0,0,0.67630058,0,0
uuid_00188,0,0.34507042,0,0.02112676,0.00704225,0,0.02816901,0.36619718,0,0,0,0.23239437,0,0
uuid_00189,0,0.02842377,0.03100775,0,0,0.0129199,0.00516796,0.02325581,0,0,0.04651163,0.8501292,0.00258398,0
uuid_00190,0,0.04310345,0.01724138,0.87931034,0,0,0.01293103,0.01293103,0,0,0.03448276,0,0,0
uuid_00191,0,0,0,1,0,0,0,0,0,0,0,0,0,0
uuid_00192,0,0,0,0,0,0,0.99712644,0,0,0,0,0,0.00287356,0
uuid_00193,0.01428571,0,0.00285714,0.96285714,0,0,0.00857143,0.00285714,0,0,0,0.00857143,0,0
uuid_00194,0,0.05631068,0,0,0,0,0.11067961,0,0.06796117,0,0,0.7223301,0,0.04271845
uuid_00195,0,0.20408163,0.04081633,0,0,0,0.73469388,0,0,0,0,0,0,0.02040816
uuid_00196,0,0.22222222,0,0,0,0.43253968,0.00396825,0.30952381,0,0.00396825,0,0,0,0.02777778
uuid_00197,0,0.22941176,0,0.01764706,0,0,0,0.75294118,0,0,0,0,0,0
uuid_00198,0,0,0.99871392,0,0,0,0.00085739,0.0002858,0,0,0,0,0,0.0001429
uuid_00199,0,0.0066335,0.00165837,0.78606965,0,0.18573798,0.00829187,0.00995025,0,0,0,0.00165837,0,0
uuid_00200,0,0.01217862,0,0.00541272,0,0,0.01082544,0.00135318,0,0.00135318,0.95399188,0.00135318,0.0135318,0
uuid_00201,0,0.06758621,0.35310345,0.00275862,0,0.00137931,0.06068966,0.14758621,0,0.01241379,0.05655172,0.2662069,0.00137931,0.03034483
uuid_00202,0.05333333,0.18222222,0.05777778,0,0,0,0.04444444,0.15111111,0,0.39111111,0,0.11111111,0,0.00888889
uuid_00203,0,0.00164069,0,0,0,0.00082034,0.99015587,0.00574241,0,0,0,0,0.00164069,0
uuid_00204,0,0.11538462,0,0,0,0.01282051,0.77350427,0,0.07692308,0,0,0.0042735,0,0.01709402
uuid_00205,0,0.00069444,0.00069444,0.95555556,0.00208333,0.00277778,0.00208333,0.00069444,0,0,0,0.03541667,0,0
uuid_00206,0,1,0,0,0,0,0,0,0,0,0,0,0,0
uuid_00207,0.14285714,0.0047619,0.01428571,0.03333333,0,0.00952381,0.00952381,0.01904762,0.00952381,0.0047619,0.7,0.0047619,0.01904762,0.02857143
uuid_00208,0,0.53051643,0.00469484,0,0,0,0.00938967,0,0,0.01877934,0,0.43192488,0.00469484,0
uuid_00209,0.01111111,0.74567901,0.04074074,0.04320988,0.00987654,0,0,0.01604938,0.00123457,0,0.11975309,0.00123457,0.00493827,0.00617284
uuid_00210,0.01343146,0.00202392,0,0,0,0.00055198,0.98031279,0.00183993,0,0,0,0.00183993,0,0
uuid_00211,0,0.55391433,0,0.42983752,0,0,0,0.01477105,0.0014771,0,0,0,0,0
uuid_00212,0,0.22274143,0,0.58099688,0,0,0,0.00311526,0,0,0.0529595,0.00311526,0.11370717,0.02336449
uuid_00213,0.0137741,0.16804408,0.0137741,0,0.0137741,0,0.03030303,0.02754821,0,0.00550964,0,0.69972452,0.01101928,0.01652893
uuid_00214,0,0,0,0,0.00075988,0,0,0.00303951,0,0,0,0.99620061,0,0
uuid_00215,0.00920245,0.22392638,0.00306748,0,0,0.00613497,0,0.0398773,0.00306748,0.00306748,0.05521472,0.53067485,0,0.12576687
uuid_00216,0,0.11186441,0,0,0,0.05084746,0.00338983,0.76949153,0,0.00677966,0.02033898,0.01355932,0.02033898,0.00338983
uuid_00217,0,0,0,0.07428571,0,0,0,0,0,0,0.02285714,0.85428571,0,0.04857143
uuid_00218,0,0.20283019,0,0.59433962,0,0,0.01415094,0.00707547,0,0,0.16037736,0.01886792,0,0.00235849
uuid_00219,0.00073099,0.01681287,0.00146199,0.71783626,0.00073099,0,0.22149123,0.03070175,0,0,0.00073099,0.00657895,0.00073099,0.00219298
uuid_00220,0,0.71919771,0.07449857,0,0,0,0.01432665,0,0.17191977,0.01146132,0,0.00573066,0,0.00286533
uuid_00221,0,0.02807018,0,0,0,0.94210526,0,0.00175439,0,0,0,0.01403509,0,0.01403509
uuid_00222,0,0.00436681,0.23144105,0,0,0,0.40174672,0,0.17030568,0,0,0.10480349,0.02183406,0.06550218
