UUID,Automotive,Ent,Finance,Games,Health,Hobbies,Life,News,Parent,Property,Sports,Tech,Travel,Women,group_id
uuid_00151,16,1,1,0,3,6,1924,9,0,0,22,1,10,2,5
uuid_00152,0,1,0,376,0,0,0,1,0,0,0,140,0,0,0
uuid_00153,0,8,0,0,0,0,0,1,0,0,1,531,0,0,2
uuid_00154,0,1,0,0,0,32,21,6,0,0,45,49,1,0,3
uuid_00155,0,2856,0,0,0,0,0,0,0,0,0,0,0,0,1
uuid_00156,0,3,0,0,0,0,5,884,0,0,0,0,0,0,9
uuid_00157,0,1,11,0,0,0,0,0,0,49,0,1406,0,0,2
uuid_00158,56,223,29,22,20,11,873,102,7,0,721,12,23,16,3
uuid_00159,0,17,1,0,0,246,2,0,2,0,1,2,0,0,7
uuid_00160,0,10,2,1,0,2,12,2,0,1,19,262,0,2,2
uuid_00161,0,259,0,22,0,113,96,1,0,0,0,61,2,29,3
uuid_00162,0,5,0,180,0,0,0,0,0,0,0,0,0,0,0
uuid_00163,1,347,0,0,0,1,0,1,0,4,0,0,1,0,1
uuid_00164,4,240,0,0,0,127,8,4,0,3,31,119,17,0,3
uuid_00165,10,2,0,0,0,3,0,0,0,0,0,442,0,0,2
uuid_00166,67,0,0,0,0,0,1949,6,0,0,80,16,0,5,5
uuid_00167,0,0,0,0,0,0,0,0,1,0,0,620,0,2,2
uuid_00168,14,2,3,1,0,2,4,9,0,1,5,469,0,1,2
uuid_00169,0,314,0,81,3,0,16,4,1,0,2,3,2,3,1
uuid_00170,16,2,0,0,1,3,1,2,5,0,0,412,0,1,2
uuid_00171,0,6,400,0,0,0,0,5,2,0,14,0,32,0,4
uuid_00172,0,11,0,12,0,472,0,3,0,0,0,0,0,0,7
uuid_00173,1,30,9,0,2,0,6,36,1,44,0,1,4,86,3
uuid_00174,2,2,13,0,1,2,1,14,6,0,172,8,0,3,6
uuid_00175,0,0,0,310,0,6,0,1,0,0,0,14,0,0,0
uuid_00176,0,0,0,0,0,0,0,1028,0,0,0,0,0,0,9
uuid_00177,0,8,0,0,0,0,0,0,0,0,2,266,0,0,2
uuid_00178,0,0,1841,0,0,0,0,0,0,0,0,0,0,0,4
uuid_00179,0,23,0,0,0,0,0,0,0,0,0,1422,0,0,2
uuid_00180,0,2,4361,0,0,0,4,0,0,0,0,3,22,0,4
uuid_00181,1,0,0,292,0,0,0,13,0,0,0,0,0,0,0
uuid_00182,0,1,0,0,0,0,0,0,0,0,2,359,0,0,2
uuid_00183,0,6,0,1,0,0,2,0,0,0,353,0,0,0,6
uuid_00184,0,6,2619,0,0,0,2,0,0,0,0,1,0,0,4
uuid_00185,0,1576,0,0,0,0,0,0,0,0,0,0,0,0,1
uuid_00186,0,24,0,11,0,65,27,0,0,0,195,13,33,9,6
uuid_00187,0,49,0,2,0,0,4,1,0,0,0,117,0,0,2
uuid_00188,0,49,0,3,1,0,4,52,0,0,0,33,0,0,3
uuid_00189,0,11,12,0,0,5,2,9,0,0,18,329,1,0,2
uuid_00190,0,10,4,204,0,0,3,3,0,0,8,0,0,0,0
uuid_00191,0,0,0,743,0,0,0,0,0,0,0,0,0,0,0
uuid_00192,0,0,0,0,0,0,347,0,0,0,0,0,1,0,5
uuid_00193,5,0,1,337,0,0,3,1,0,0,0,3,0,0,0
uuid_00194,0,29,0,0,0,0,57,0,35,0,0,372,0,22,2
uuid_00195,0,10,2,0,0,0,36,0,0,0,0,0,0,1,5
uuid_00196,0,56,0,0,0,109,1,78,0,1,0,0,0,7,3
uuid_00197,0,39,0,3,0,0,0,128,0,0,0,0,0,0,9
uuid_00198,0,0,6989,0,0,0,6,2,0,0,0,0,0,1,4
uuid_00199,0,4,1,474,0,112,5,6,0,0,0,1,0,0,0
uuid_00200,0,9,0,4,0,0,8,1,0,1,705,1,10,0,6
uuid_00201,0,49,256,2,0,1,44,107,0,9,41,193,1,22,3
uuid_00202,12,41,13,0,0,0,10,34,0,88,0,25,0,2,3
uuid_00203,0,2,0,0,0,1,1207,7,0,0,0,0,2,0,5
uuid_00204,0,27,0,0,0,3,181,0,18,0,0,1,0,4,5
uuid_00205,0,1,1,1376,3,4,3,1,0,0,0,51,0,0,0
uuid_00206,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
uuid_00207,30,1,3,7,0,2,2,4,2,1,147,1,4,6,6
uuid_00208,0,113,1,0,0,0,2,0,0,4,0,92,1,0,1
uuid_00209,9,604,33,35,8,0,0,13,1,0,97,1,4,5,1
uuid_00210,73,11,0,0,0,3,5328,10,0,0,0,10,0,0,5
uuid_00211,0,375,0,291,0,0,0,10,1,0,0,0,0,0,1
uuid_00212,0,143,0,373,0,0,0,2,0,0,34,2,73,15,0
uuid_00213,5,61,5,0,5,0,11,10,0,2,0,254,4,6,2
uuid_00214,0,0,0,0,1,0,0,4,0,0,0,1311,0,0,2
uuid_00215,3,73,1,0,0,2,0,13,1,1,18,173,0,41,2
uuid_00216,0,33,0,0,0,15,1,227,0,2,6,4,6,1,9
uuid_00217,0,0,0,26,0,0,0,0,0,0,8,299,0,17,2
uuid_00218,0,86,0,252,0,0,6,3,0,0,68,8,0,1,0
uuid_00219,1,23,2,982,1,0,303,42,0,0,1,9,1,3,0
uuid_00220,0,251,26,0,0,0,5,0,60,4,0,2,0,1,1
uuid_00221,0,16,0,0,0,537,0,1,0,0,0,8,0,8,7
uuid_00222,0,1,53,0,0,0,92,0,39,0,0,24,5,15,3
uuid_00223,1,5,0,0,12,0,574,33,6,38,0,0,0,4,5
uuid_00224,1,1,20,1,0,0,4,13,0,3,154,0,0,1,6
uuid_00225,2,27,204,0,2,16,19,18,0,26,23,13,0,16,4
uuid_00226,0,10,826,0,0,1,2,18,0,0,3,245,1,0,4
uuid_00227,0,3,703,0,0,0,4,3,0,0,745,0,0,0,6
uuid_00228,493,61,165,0,0,0,0,1,0,5,0,0,4,0,10
uuid_00229,0,7608,0,0,0,0,0,38,0,0,0,0,0,0,1
uuid_00230,0,650,0,1,0,54,10,0,0,0,0,30,0,0,1
uuid_00231,0,1661,0,0,0,0,0,0,0,0,0,0,0,0,1
uuid_00232,0,1,0,2,0,160,0,0,0,0,0,0,0,1,7
uuid_00233,0,358,0,3,0,0,1118,0,0,0,0,5,28,9,5
uuid_00234,0,235,5,1,0,0,6,2,48,0,0,0,161,15,3
uuid_00235,93,22,304,0,126,21,1,187,89,0,0,420,121,118,3
uuid_00236,5,29,1,10,0,0,0,13,0,1,167,46,1,4,6
uuid_00237,6,0,10,95,11,0,4,21,12,0,12,15,10,11,3
uuid_00238,0,2,0,0,0,0,50,0,0,0,0,0,4,2,5
uuid_00239,0,563,0,0,0,0,9,0,0,0,0,0,0,0,1
uuid_00240,81,4,5,0,1,0,2,3,0,1,0,824,0,0,2
uuid_00241,8,343,31,8,11,0,0,62,8,0,0,0,10,9,1
uuid_00242,0,0,0,17,0,53,0,0,0,0,0,13,0,0,7
uuid_00243,31,30,5,0,1,1,0,50,2,13,2,113,0,2,3
uuid_00244,0,49,0,0,0,0,0,2,0,0,0,0,2,0,1
uuid_00245,0,37,0,0,0,24,0,2,3,0,0,47,0,8,3
uuid_00246,1,17,0,0,3,0,0,0,0,0,0,352,3,19,2
uuid_00247,0,89,3,0,1,1,179,56,4,0,1,1,2,7,5
uuid_00248,92,1,1,3,0,47,1,22,2,0,19,303,2,4,2
uuid_00249,0,0,0,0,0,0,0,1185,0,0,0,1,0,0,9
uuid_00250,0,36,0,910,0,68,57,3,0,203,0,11,0,0,0
uuid_00251,0,4,0,1119,0,0,0,5,0,0,2,1,0,0,0
uuid_00252,0,1,0,0,0,0,1,0,0,0,0,151,0,0,2
uuid_00253,3,389,3,0,1,0,62,1,1,0,344,0,61,0,3
uuid_00254,0,163,4,2,0,0,0,0,4,0,31,1,0,0,1
uuid_00255,0,0,0,0,0,0,0,0,0,0,0,1766,0,0,2
